,food_type,temperature,hours_already_spent,risk
829,Cooked rice dish,refrigerated temperature,3.38,low
830,Sweets,cool temperature(approx. 18 C),8.09,high
831,Dairy-based curries,room temperature(more than 25 C),10.04,very high
832,Dry vegetable dishes,cool temperature(approx. 18 C),7.6,medium
833,Gravy-based veg curries,refrigerated temperature,4.17,low
834,Dry vegetable dishes,room temperature(more than 25 C),4.9,very high
835,Sweets,room temperature(more than 25 C),1.54,high
836,Cooked rice dish,refrigerated temperature,10.01,low
837,Fried items,cool temperature(approx. 18 C),6.09,low
838,Gravy-based veg curries,refrigerated temperature,4.41,low
839,Cooked rice dish,refrigerated temperature,10.51,low
840,Cooked rice dish,room temperature(more than 25 C),5.42,very high
841,Gravy-based veg curries,cool temperature(approx. 18 C),11.75,very high
842,Dairy-based curries,cool temperature(approx. 18 C),0.56,high
843,Dry vegetable dishes,room temperature(more than 25 C),4.56,very high
844,Dry vegetable dishes,cool temperature(approx. 18 C),5.84,medium
845,Dairy-based curries,refrigerated temperature,10.01,low
846,Fried items,refrigerated temperature,9.32,low
847,Dry vegetable dishes,refrigerated temperature,11.89,low
848,Dry vegetable dishes,room temperature(more than 25 C),8.97,very high
849,Dry vegetable dishes,room temperature(more than 25 C),4.24,very high
850,Sweets,refrigerated temperature,8.89,low
851,Cooked rice dish,cool temperature(approx. 18 C),1.23,high
852,Fresh breads,room temperature(more than 25 C),8.17,very high
853,Sweets,cool temperature(approx. 18 C),4.64,medium
854,Dairy-based curries,cool temperature(approx. 18 C),0.98,high
855,Dry vegetable dishes,cool temperature(approx. 18 C),9.04,high
856,Fried items,room temperature(more than 25 C),11.34,very high
857,Dairy-based curries,cool temperature(approx. 18 C),5.14,very high
858,Dal/lentils,cool temperature(approx. 18 C),6.27,very high
859,Non-veg curries,cool temperature(approx. 18 C),3.37,very high
860,Sweets,refrigerated temperature,2.69,low
861,Dairy-based curries,cool temperature(approx. 18 C),10.96,very high
862,Fresh breads,room temperature(more than 25 C),10.41,very high
863,Fried items,room temperature(more than 25 C),10.15,very high
864,Gravy-based veg curries,refrigerated temperature,10.71,low
865,Sweets,cool temperature(approx. 18 C),7.4,medium
866,Non-veg curries,room temperature(more than 25 C),6.18,very high
867,Cooked rice dish,refrigerated temperature,3.61,low
868,Fresh breads,room temperature(more than 25 C),0.66,medium
869,Cooked rice dish,refrigerated temperature,2.27,low
870,Non-veg curries,refrigerated temperature,2.17,low
871,Gravy-based veg curries,refrigerated temperature,1.62,low
872,Dal/lentils,room temperature(more than 25 C),11.31,very high
873,Dal/lentils,refrigerated temperature,9.73,low
874,Gravy-based veg curries,room temperature(more than 25 C),6.94,very high
875,Dal/lentils,cool temperature(approx. 18 C),4.79,high
876,Fried items,refrigerated temperature,4.74,low
877,Fresh breads,cool temperature(approx. 18 C),2.46,low
878,Fresh breads,room temperature(more than 25 C),1.55,medium
879,Dry vegetable dishes,cool temperature(approx. 18 C),11.82,very high
880,Cooked rice dish,cool temperature(approx. 18 C),10.15,very high
881,Fresh breads,refrigerated temperature,11.67,low
882,Fried items,room temperature(more than 25 C),2.18,medium
883,Cooked rice dish,refrigerated temperature,0.47,low
884,Fresh breads,cool temperature(approx. 18 C),2.69,low
885,Sweets,room temperature(more than 25 C),9.48,very high
886,Gravy-based veg curries,cool temperature(approx. 18 C),9.12,very high
887,Non-veg curries,room temperature(more than 25 C),2.3,very high
888,Non-veg curries,refrigerated temperature,0.06,low
889,Fried items,cool temperature(approx. 18 C),8.51,low
890,Gravy-based veg curries,room temperature(more than 25 C),5.74,very high
891,Cooked rice dish,room temperature(more than 25 C),7.79,very high
892,Sweets,room temperature(more than 25 C),6.66,very high
893,Fried items,refrigerated temperature,4.22,low
894,Dry vegetable dishes,refrigerated temperature,1.36,low
895,Cooked rice dish,refrigerated temperature,5.98,low
896,Fresh breads,cool temperature(approx. 18 C),5.43,medium
897,Cooked rice dish,room temperature(more than 25 C),5.57,very high
898,Sweets,cool temperature(approx. 18 C),10.82,very high
899,Fried items,refrigerated temperature,1.99,low
900,Sweets,room temperature(more than 25 C),9.83,very high
901,Fresh breads,refrigerated temperature,8.93,low
902,Gravy-based veg curries,refrigerated temperature,7.23,low
903,Cooked rice dish,cool temperature(approx. 18 C),8.51,very high
904,Dry vegetable dishes,cool temperature(approx. 18 C),8.22,high
905,Dal/lentils,refrigerated temperature,4.93,low
906,Gravy-based veg curries,refrigerated temperature,10.53,low
907,Sweets,cool temperature(approx. 18 C),10.36,very high
908,Cooked rice dish,refrigerated temperature,4.8,low
909,Dairy-based curries,refrigerated temperature,3.85,low
910,Cooked rice dish,cool temperature(approx. 18 C),1.49,high
911,Non-veg curries,refrigerated temperature,11.03,low
912,Non-veg curries,refrigerated temperature,10.96,low
913,Dairy-based curries,refrigerated temperature,2.62,low
914,Fried items,cool temperature(approx. 18 C),4.79,low
915,Dairy-based curries,refrigerated temperature,11.48,low
916,Non-veg curries,room temperature(more than 25 C),0.25,very high
917,Dairy-based curries,room temperature(more than 25 C),8.68,very high
918,Non-veg curries,room temperature(more than 25 C),10.91,very high
919,Dry vegetable dishes,cool temperature(approx. 18 C),8.44,high
920,Dairy-based curries,refrigerated temperature,6.68,low
921,Fresh breads,room temperature(more than 25 C),11.12,very high
922,Sweets,cool temperature(approx. 18 C),1.37,low
923,Fresh breads,room temperature(more than 25 C),4.09,high
924,Sweets,room temperature(more than 25 C),9.73,very high
925,Non-veg curries,room temperature(more than 25 C),2.59,very high
926,Cooked rice dish,room temperature(more than 25 C),2.29,very high
927,Sweets,cool temperature(approx. 18 C),1.28,low
928,Gravy-based veg curries,room temperature(more than 25 C),2.27,very high
929,Gravy-based veg curries,cool temperature(approx. 18 C),1.85,medium
930,Dairy-based curries,cool temperature(approx. 18 C),11.0,very high
931,Dairy-based curries,room temperature(more than 25 C),5.26,very high
932,Gravy-based veg curries,cool temperature(approx. 18 C),11.2,very high
933,Dal/lentils,refrigerated temperature,10.29,low
934,Fried items,refrigerated temperature,11.98,low
935,Dairy-based curries,refrigerated temperature,11.22,low
936,Fresh breads,room temperature(more than 25 C),5.15,high
937,Fried items,room temperature(more than 25 C),5.5,high
938,Gravy-based veg curries,room temperature(more than 25 C),0.4,high
939,Gravy-based veg curries,cool temperature(approx. 18 C),1.27,medium
940,Non-veg curries,cool temperature(approx. 18 C),1.29,high
941,Fresh breads,refrigerated temperature,4.78,low
942,Sweets,refrigerated temperature,4.51,low
943,Gravy-based veg curries,cool temperature(approx. 18 C),1.95,medium
944,Fresh breads,refrigerated temperature,2.39,low
945,Dry vegetable dishes,refrigerated temperature,1.56,low
946,Dairy-based curries,room temperature(more than 25 C),0.5,high
947,Gravy-based veg curries,refrigerated temperature,5.33,low
948,Gravy-based veg curries,refrigerated temperature,3.87,low
949,Non-veg curries,room temperature(more than 25 C),0.72,very high
950,Non-veg curries,refrigerated temperature,10.73,low
951,Sweets,cool temperature(approx. 18 C),8.26,high
952,Gravy-based veg curries,cool temperature(approx. 18 C),5.8,high
953,Cooked rice dish,cool temperature(approx. 18 C),6.84,very high
954,Sweets,room temperature(more than 25 C),10.62,very high
955,Dal/lentils,refrigerated temperature,5.43,low
956,Fresh breads,room temperature(more than 25 C),5.28,high
957,Sweets,refrigerated temperature,8.05,low
958,Dairy-based curries,room temperature(more than 25 C),3.06,very high
959,Fresh breads,cool temperature(approx. 18 C),11.37,very high
960,Fried items,cool temperature(approx. 18 C),2.79,low
961,Fresh breads,room temperature(more than 25 C),5.15,high
962,Sweets,refrigerated temperature,5.23,low
963,Dry vegetable dishes,refrigerated temperature,9.36,low
964,Non-veg curries,cool temperature(approx. 18 C),7.51,very high
965,Fried items,room temperature(more than 25 C),3.02,medium
966,Sweets,cool temperature(approx. 18 C),3.09,low
967,Dal/lentils,room temperature(more than 25 C),2.6,very high
968,Fresh breads,room temperature(more than 25 C),9.1,very high
969,Dry vegetable dishes,refrigerated temperature,0.86,low
970,Fried items,cool temperature(approx. 18 C),11.92,low
971,Dairy-based curries,refrigerated temperature,9.82,low
972,Fresh breads,cool temperature(approx. 18 C),0.66,low
973,Non-veg curries,room temperature(more than 25 C),3.04,very high
974,Sweets,room temperature(more than 25 C),6.95,very high
975,Gravy-based veg curries,room temperature(more than 25 C),6.84,very high
976,Sweets,cool temperature(approx. 18 C),11.89,very high
977,Dairy-based curries,room temperature(more than 25 C),5.23,very high
978,Gravy-based veg curries,refrigerated temperature,5.5,low
979,Gravy-based veg curries,cool temperature(approx. 18 C),3.49,medium
980,Gravy-based veg curries,refrigerated temperature,3.59,low
981,Non-veg curries,refrigerated temperature,10.46,low
982,Sweets,room temperature(more than 25 C),11.3,very high
983,Fried items,cool temperature(approx. 18 C),9.18,low
984,Gravy-based veg curries,refrigerated temperature,10.34,low
985,Dal/lentils,refrigerated temperature,2.75,low
986,Dairy-based curries,cool temperature(approx. 18 C),6.25,very high
987,Fried items,refrigerated temperature,6.87,low
988,Non-veg curries,room temperature(more than 25 C),3.72,very high
989,Dal/lentils,cool temperature(approx. 18 C),8.01,very high
990,Cooked rice dish,room temperature(more than 25 C),9.34,very high
991,Cooked rice dish,room temperature(more than 25 C),10.03,very high
992,Dairy-based curries,cool temperature(approx. 18 C),1.53,high
993,Cooked rice dish,cool temperature(approx. 18 C),9.15,very high
994,Dry vegetable dishes,room temperature(more than 25 C),3.41,high
995,Non-veg curries,room temperature(more than 25 C),5.74,very high
996,Dairy-based curries,room temperature(more than 25 C),8.42,very high
997,Fresh breads,room temperature(more than 25 C),3.56,medium
998,Fried items,refrigerated temperature,10.5,low
999,Fried items,room temperature(more than 25 C),2.73,medium
1000,Non-veg curries,room temperature(more than 25 C),1.1,very high
1001,Fresh breads,room temperature(more than 25 C),9.72,very high
1002,Dry vegetable dishes,cool temperature(approx. 18 C),7.73,medium
1003,Dairy-based curries,cool temperature(approx. 18 C),3.6,very high
1004,Fried items,cool temperature(approx. 18 C),8.45,low
1005,Dairy-based curries,refrigerated temperature,11.1,low
1006,Non-veg curries,refrigerated temperature,7.02,low
1007,Dry vegetable dishes,room temperature(more than 25 C),8.75,very high
1008,Dairy-based curries,refrigerated temperature,5.01,low
1009,Dal/lentils,room temperature(more than 25 C),5.8,very high
1010,Fresh breads,room temperature(more than 25 C),10.39,very high
1011,Fresh breads,refrigerated temperature,3.89,low
1012,Cooked rice dish,room temperature(more than 25 C),9.28,very high
1013,Gravy-based veg curries,room temperature(more than 25 C),11.17,very high
1014,Gravy-based veg curries,refrigerated temperature,2.38,low
1015,Fresh breads,refrigerated temperature,3.49,low
1016,Fried items,cool temperature(approx. 18 C),8.98,low
1017,Fried items,room temperature(more than 25 C),10.59,very high
1018,Non-veg curries,room temperature(more than 25 C),7.17,very high
1019,Dairy-based curries,cool temperature(approx. 18 C),0.89,high
1020,Cooked rice dish,refrigerated temperature,0.87,low
1021,Sweets,refrigerated temperature,0.5,low
1022,Dairy-based curries,room temperature(more than 25 C),11.5,very high
1023,Fresh breads,room temperature(more than 25 C),11.42,very high
1024,Cooked rice dish,cool temperature(approx. 18 C),0.66,high
1025,Fried items,cool temperature(approx. 18 C),6.23,low
1026,Gravy-based veg curries,cool temperature(approx. 18 C),1.25,medium
1027,Fresh breads,room temperature(more than 25 C),1.75,medium
1028,Fresh breads,room temperature(more than 25 C),4.89,high
1029,Sweets,cool temperature(approx. 18 C),11.72,very high
1030,Non-veg curries,refrigerated temperature,6.98,low
1031,Fried items,refrigerated temperature,5.65,low
1032,Dry vegetable dishes,room temperature(more than 25 C),10.27,very high
1033,Fried items,cool temperature(approx. 18 C),11.46,low
1034,Dry vegetable dishes,refrigerated temperature,11.45,low
1035,Sweets,room temperature(more than 25 C),5.4,very high
1036,Dry vegetable dishes,room temperature(more than 25 C),4.54,very high
1037,Dairy-based curries,refrigerated temperature,3.93,low
1038,Gravy-based veg curries,cool temperature(approx. 18 C),3.6,medium
1039,Gravy-based veg curries,cool temperature(approx. 18 C),1.63,medium
1040,Dry vegetable dishes,refrigerated temperature,0.47,low
1041,Gravy-based veg curries,refrigerated temperature,4.18,low
1042,Dal/lentils,room temperature(more than 25 C),2.5,very high
1043,Sweets,refrigerated temperature,3.64,low
1044,Fresh breads,room temperature(more than 25 C),4.49,high
1045,Fried items,refrigerated temperature,0.67,low
1046,Dry vegetable dishes,room temperature(more than 25 C),9.61,very high
1047,Dry vegetable dishes,cool temperature(approx. 18 C),1.73,low
1048,Fresh breads,refrigerated temperature,8.17,low
1049,Dairy-based curries,room temperature(more than 25 C),10.19,very high
1050,Fried items,room temperature(more than 25 C),0.98,medium
1051,Fresh breads,room temperature(more than 25 C),9.4,very high
1052,Dry vegetable dishes,room temperature(more than 25 C),1.09,medium
1053,Fried items,refrigerated temperature,11.42,low
1054,Cooked rice dish,room temperature(more than 25 C),11.55,very high
1055,Cooked rice dish,cool temperature(approx. 18 C),5.97,very high
1056,Cooked rice dish,refrigerated temperature,1.76,low
1057,Dairy-based curries,room temperature(more than 25 C),1.46,very high
1058,Fried items,room temperature(more than 25 C),6.5,very high
1059,Dry vegetable dishes,cool temperature(approx. 18 C),2.93,low
1060,Dal/lentils,room temperature(more than 25 C),7.72,very high
1061,Dry vegetable dishes,room temperature(more than 25 C),0.33,medium
1062,Sweets,cool temperature(approx. 18 C),5.9,medium
1063,Dairy-based curries,room temperature(more than 25 C),2.43,very high
1064,Dairy-based curries,cool temperature(approx. 18 C),1.49,high
1065,Dry vegetable dishes,room temperature(more than 25 C),5.71,very high
1066,Dal/lentils,room temperature(more than 25 C),2.84,very high
1067,Non-veg curries,room temperature(more than 25 C),7.71,very high
1068,Non-veg curries,refrigerated temperature,6.7,low
1069,Cooked rice dish,refrigerated temperature,2.32,low
1070,Fresh breads,room temperature(more than 25 C),3.53,medium
1071,Fried items,room temperature(more than 25 C),9.06,very high
1072,Dry vegetable dishes,cool temperature(approx. 18 C),11.15,very high
1073,Fried items,cool temperature(approx. 18 C),5.37,low
1074,Dairy-based curries,cool temperature(approx. 18 C),6.5,very high
1075,Dry vegetable dishes,room temperature(more than 25 C),6.24,very high
1076,Fresh breads,room temperature(more than 25 C),6.15,very high
1077,Fried items,refrigerated temperature,5.76,low
1078,Dal/lentils,room temperature(more than 25 C),10.73,very high
1079,Fresh breads,refrigerated temperature,0.14,low
1080,Cooked rice dish,refrigerated temperature,5.11,low
1081,Non-veg curries,cool temperature(approx. 18 C),0.87,high
1082,Dairy-based curries,cool temperature(approx. 18 C),0.67,high
1083,Fried items,cool temperature(approx. 18 C),6.16,low
1084,Dry vegetable dishes,refrigerated temperature,7.91,low
1085,Dry vegetable dishes,cool temperature(approx. 18 C),2.88,low
1086,Dal/lentils,refrigerated temperature,1.75,low
1087,Cooked rice dish,cool temperature(approx. 18 C),8.69,very high
1088,Cooked rice dish,refrigerated temperature,11.78,low
1089,Gravy-based veg curries,refrigerated temperature,5.98,low
1090,Non-veg curries,room temperature(more than 25 C),8.98,very high
1091,Sweets,room temperature(more than 25 C),2.15,high
1092,Non-veg curries,cool temperature(approx. 18 C),7.2,very high
1093,Non-veg curries,room temperature(more than 25 C),10.62,very high
1094,Dairy-based curries,cool temperature(approx. 18 C),7.47,very high
1095,Gravy-based veg curries,refrigerated temperature,6.88,low
1096,Gravy-based veg curries,cool temperature(approx. 18 C),5.11,high
1097,Dry vegetable dishes,refrigerated temperature,10.68,low
1098,Cooked rice dish,cool temperature(approx. 18 C),0.36,high
1099,Sweets,room temperature(more than 25 C),10.48,very high
1100,Dal/lentils,cool temperature(approx. 18 C),0.19,medium
1101,Fried items,room temperature(more than 25 C),4.15,high
1102,Fried items,refrigerated temperature,1.61,low
1103,Fresh breads,room temperature(more than 25 C),5.78,high
1104,Cooked rice dish,room temperature(more than 25 C),8.39,very high
1105,Dry vegetable dishes,cool temperature(approx. 18 C),11.39,very high
1106,Dairy-based curries,refrigerated temperature,9.4,low
1107,Sweets,refrigerated temperature,2.83,low
1108,Dal/lentils,cool temperature(approx. 18 C),7.84,very high
1109,Sweets,refrigerated temperature,5.69,low
1110,Sweets,refrigerated temperature,9.44,low
1111,Non-veg curries,cool temperature(approx. 18 C),1.46,high
1112,Cooked rice dish,cool temperature(approx. 18 C),9.84,very high
1113,Sweets,refrigerated temperature,0.65,low
1114,Fresh breads,room temperature(more than 25 C),0.93,medium
1115,Non-veg curries,room temperature(more than 25 C),6.26,very high
1116,Gravy-based veg curries,refrigerated temperature,11.3,low
1117,Cooked rice dish,room temperature(more than 25 C),4.58,very high
1118,Dal/lentils,cool temperature(approx. 18 C),8.46,very high
1119,Fresh breads,refrigerated temperature,7.02,low
1120,Dry vegetable dishes,room temperature(more than 25 C),1.59,medium
1121,Cooked rice dish,cool temperature(approx. 18 C),11.16,very high
1122,Dal/lentils,refrigerated temperature,7.68,low
1123,Fresh breads,room temperature(more than 25 C),8.92,very high
1124,Non-veg curries,room temperature(more than 25 C),0.89,very high
1125,Non-veg curries,cool temperature(approx. 18 C),4.38,very high
1126,Dairy-based curries,cool temperature(approx. 18 C),0.6,high
1127,Dry vegetable dishes,cool temperature(approx. 18 C),8.69,high
1128,Dry vegetable dishes,refrigerated temperature,6.33,low
1129,Sweets,refrigerated temperature,3.72,low
1130,Dal/lentils,room temperature(more than 25 C),10.75,very high
1131,Dairy-based curries,refrigerated temperature,11.7,low
1132,Dairy-based curries,cool temperature(approx. 18 C),7.18,very high
1133,Non-veg curries,cool temperature(approx. 18 C),2.99,very high
1134,Dairy-based curries,cool temperature(approx. 18 C),1.65,high
1135,Dairy-based curries,cool temperature(approx. 18 C),9.73,very high
1136,Sweets,cool temperature(approx. 18 C),5.47,medium
1137,Cooked rice dish,cool temperature(approx. 18 C),11.88,very high
1138,Dairy-based curries,refrigerated temperature,8.82,low
1139,Dry vegetable dishes,room temperature(more than 25 C),3.01,high
1140,Non-veg curries,cool temperature(approx. 18 C),11.98,very high
1141,Cooked rice dish,refrigerated temperature,1.97,low
1142,Dairy-based curries,room temperature(more than 25 C),0.1,high
1143,Cooked rice dish,cool temperature(approx. 18 C),7.48,very high
1144,Gravy-based veg curries,refrigerated temperature,5.18,low
1145,Dal/lentils,room temperature(more than 25 C),9.67,very high
1146,Gravy-based veg curries,room temperature(more than 25 C),7.77,very high
1147,Cooked rice dish,cool temperature(approx. 18 C),8.99,very high
1148,Dry vegetable dishes,room temperature(more than 25 C),1.61,medium
1149,Fresh breads,room temperature(more than 25 C),3.65,medium
1150,Dry vegetable dishes,refrigerated temperature,7.14,low
1151,Non-veg curries,refrigerated temperature,2.37,low
1152,Dry vegetable dishes,room temperature(more than 25 C),11.46,very high
1153,Gravy-based veg curries,refrigerated temperature,3.85,low
1154,Sweets,cool temperature(approx. 18 C),5.84,medium
1155,Gravy-based veg curries,room temperature(more than 25 C),9.55,very high
1156,Non-veg curries,room temperature(more than 25 C),7.3,very high
1157,Non-veg curries,refrigerated temperature,11.67,low
1158,Fresh breads,room temperature(more than 25 C),5.35,high
1159,Dairy-based curries,room temperature(more than 25 C),3.54,very high
1160,Non-veg curries,refrigerated temperature,4.55,low
1161,Dairy-based curries,refrigerated temperature,8.81,low
1162,Gravy-based veg curries,room temperature(more than 25 C),9.47,very high
1163,Sweets,cool temperature(approx. 18 C),5.81,medium
1164,Non-veg curries,refrigerated temperature,0.18,low
1165,Gravy-based veg curries,room temperature(more than 25 C),4.06,very high
1166,Cooked rice dish,refrigerated temperature,2.26,low
1167,Dairy-based curries,refrigerated temperature,7.68,low
1168,Fresh breads,refrigerated temperature,8.95,low
1169,Sweets,cool temperature(approx. 18 C),3.5,low
1170,Dairy-based curries,refrigerated temperature,3.44,low
1171,Non-veg curries,refrigerated temperature,9.31,low
1172,Gravy-based veg curries,room temperature(more than 25 C),11.25,very high
1173,Fried items,cool temperature(approx. 18 C),7.9,low
1174,Sweets,cool temperature(approx. 18 C),10.82,very high
1175,Sweets,cool temperature(approx. 18 C),7.98,medium
1176,Non-veg curries,refrigerated temperature,11.23,low
1177,Dal/lentils,cool temperature(approx. 18 C),10.64,very high
1178,Gravy-based veg curries,room temperature(more than 25 C),4.77,very high
1179,Dry vegetable dishes,refrigerated temperature,5.87,low
1180,Cooked rice dish,room temperature(more than 25 C),4.13,very high
1181,Fried items,refrigerated temperature,1.76,low
1182,Non-veg curries,refrigerated temperature,3.88,low
1183,Fresh breads,room temperature(more than 25 C),8.79,very high
1184,Dry vegetable dishes,refrigerated temperature,2.13,low
1185,Gravy-based veg curries,room temperature(more than 25 C),6.43,very high
1186,Gravy-based veg curries,refrigerated temperature,10.17,low
1187,Fresh breads,refrigerated temperature,5.89,low
1188,Sweets,room temperature(more than 25 C),10.87,very high
1189,Dal/lentils,room temperature(more than 25 C),3.12,very high
1190,Cooked rice dish,cool temperature(approx. 18 C),1.46,high
1191,Non-veg curries,refrigerated temperature,10.31,low
1192,Non-veg curries,refrigerated temperature,4.12,low
1193,Fresh breads,refrigerated temperature,4.43,low
1194,Fried items,refrigerated temperature,1.19,low
1195,Cooked rice dish,refrigerated temperature,0.07,low
1196,Sweets,room temperature(more than 25 C),3.68,very high
1197,Gravy-based veg curries,refrigerated temperature,7.12,low
1198,Sweets,room temperature(more than 25 C),8.5,very high
1199,Gravy-based veg curries,refrigerated temperature,10.81,low
1200,Non-veg curries,room temperature(more than 25 C),1.79,very high
1201,Fried items,room temperature(more than 25 C),11.98,very high
1202,Dal/lentils,cool temperature(approx. 18 C),10.78,very high
1203,Gravy-based veg curries,refrigerated temperature,10.13,low
1204,Dry vegetable dishes,room temperature(more than 25 C),6.91,very high
1205,Fried items,cool temperature(approx. 18 C),1.95,low
1206,Dal/lentils,room temperature(more than 25 C),0.47,high
1207,Dal/lentils,refrigerated temperature,2.99,low
1208,Sweets,room temperature(more than 25 C),1.82,high
1209,Dairy-based curries,room temperature(more than 25 C),7.98,very high
1210,Non-veg curries,refrigerated temperature,6.14,low
1211,Cooked rice dish,refrigerated temperature,8.55,low
1212,Cooked rice dish,room temperature(more than 25 C),7.41,very high
1213,Sweets,cool temperature(approx. 18 C),1.1,low
1214,Sweets,cool temperature(approx. 18 C),7.3,medium
1215,Dairy-based curries,room temperature(more than 25 C),5.46,very high
1216,Dal/lentils,cool temperature(approx. 18 C),8.96,very high
1217,Fried items,cool temperature(approx. 18 C),8.38,low
1218,Non-veg curries,refrigerated temperature,4.05,low
1219,Sweets,refrigerated temperature,1.13,low
1220,Fresh breads,room temperature(more than 25 C),5.52,high
1221,Non-veg curries,refrigerated temperature,2.03,low
1222,Gravy-based veg curries,refrigerated temperature,5.06,low
1223,Fresh breads,cool temperature(approx. 18 C),1.54,low
1224,Fried items,refrigerated temperature,9.2,low
1225,Gravy-based veg curries,cool temperature(approx. 18 C),1.15,medium
1226,Gravy-based veg curries,refrigerated temperature,8.87,low
1227,Dry vegetable dishes,room temperature(more than 25 C),5.83,very high
1228,Dairy-based curries,refrigerated temperature,0.03,low
1229,Dairy-based curries,refrigerated temperature,0.2,low
1230,Dal/lentils,room temperature(more than 25 C),5.98,very high
1231,Gravy-based veg curries,cool temperature(approx. 18 C),7.95,very high
1232,Cooked rice dish,cool temperature(approx. 18 C),0.37,high
1233,Gravy-based veg curries,cool temperature(approx. 18 C),11.4,very high
1234,Fried items,cool temperature(approx. 18 C),7.47,low
1235,Sweets,refrigerated temperature,10.26,low
1236,Gravy-based veg curries,refrigerated temperature,7.03,low
1237,Cooked rice dish,room temperature(more than 25 C),1.25,very high
1238,Dal/lentils,cool temperature(approx. 18 C),3.03,medium
1239,Cooked rice dish,room temperature(more than 25 C),4.39,very high
1240,Cooked rice dish,room temperature(more than 25 C),9.91,very high
1241,Dairy-based curries,room temperature(more than 25 C),6.71,very high
1242,Dal/lentils,cool temperature(approx. 18 C),5.84,high
1243,Dairy-based curries,room temperature(more than 25 C),10.12,very high
1244,Gravy-based veg curries,room temperature(more than 25 C),6.62,very high
1245,Cooked rice dish,room temperature(more than 25 C),4.24,very high
1246,Sweets,cool temperature(approx. 18 C),11.24,very high
1247,Sweets,cool temperature(approx. 18 C),9.96,high
1248,Fresh breads,room temperature(more than 25 C),11.45,very high
1249,Fried items,refrigerated temperature,11.13,low
1250,Sweets,cool temperature(approx. 18 C),5.95,medium
1251,Cooked rice dish,refrigerated temperature,2.48,low
1252,Dry vegetable dishes,room temperature(more than 25 C),3.05,high
1253,Dry vegetable dishes,refrigerated temperature,2.59,low
1254,Dairy-based curries,room temperature(more than 25 C),7.1,very high
1255,Non-veg curries,cool temperature(approx. 18 C),10.73,very high
1256,Fresh breads,room temperature(more than 25 C),5.79,high
1257,Fresh breads,cool temperature(approx. 18 C),4.37,medium
1258,Cooked rice dish,cool temperature(approx. 18 C),4.56,very high
1259,Fried items,refrigerated temperature,2.7,low
1260,Fried items,refrigerated temperature,2.75,low
1261,Gravy-based veg curries,cool temperature(approx. 18 C),5.72,high
1262,Dairy-based curries,refrigerated temperature,1.9,low
1263,Dry vegetable dishes,cool temperature(approx. 18 C),9.64,high
1264,Cooked rice dish,cool temperature(approx. 18 C),8.21,very high
1265,Gravy-based veg curries,cool temperature(approx. 18 C),8.56,very high
1266,Fresh breads,cool temperature(approx. 18 C),3.65,low
1267,Cooked rice dish,room temperature(more than 25 C),0.98,high
1268,Dal/lentils,refrigerated temperature,5.59,low
1269,Cooked rice dish,refrigerated temperature,1.31,low
1270,Cooked rice dish,refrigerated temperature,6.31,low
1271,Fried items,cool temperature(approx. 18 C),9.51,low
1272,Sweets,cool temperature(approx. 18 C),2.24,low
1273,Cooked rice dish,room temperature(more than 25 C),8.36,very high
1274,Dairy-based curries,cool temperature(approx. 18 C),3.05,very high
1275,Sweets,room temperature(more than 25 C),3.51,very high
1276,Gravy-based veg curries,refrigerated temperature,5.18,low
1277,Dairy-based curries,cool temperature(approx. 18 C),5.14,very high
1278,Sweets,room temperature(more than 25 C),4.29,very high
1279,Dairy-based curries,room temperature(more than 25 C),4.4,very high
1280,Cooked rice dish,room temperature(more than 25 C),1.77,very high
1281,Sweets,room temperature(more than 25 C),3.52,very high
1282,Cooked rice dish,cool temperature(approx. 18 C),9.67,very high
1283,Gravy-based veg curries,room temperature(more than 25 C),5.15,very high
1284,Fresh breads,room temperature(more than 25 C),8.56,very high
1285,Dry vegetable dishes,room temperature(more than 25 C),9.7,very high
1286,Cooked rice dish,refrigerated temperature,5.58,low
1287,Gravy-based veg curries,refrigerated temperature,2.78,low
1288,Fried items,room temperature(more than 25 C),8.99,very high
1289,Cooked rice dish,refrigerated temperature,5.77,low
1290,Gravy-based veg curries,refrigerated temperature,2.84,low
1291,Cooked rice dish,room temperature(more than 25 C),10.61,very high
1292,Non-veg curries,room temperature(more than 25 C),4.97,very high
1293,Dairy-based curries,room temperature(more than 25 C),10.46,very high
1294,Sweets,cool temperature(approx. 18 C),1.04,low
1295,Cooked rice dish,cool temperature(approx. 18 C),4.4,very high
1296,Cooked rice dish,cool temperature(approx. 18 C),3.92,very high
1297,Sweets,room temperature(more than 25 C),2.32,high
1298,Non-veg curries,refrigerated temperature,1.78,low
1299,Fried items,room temperature(more than 25 C),9.61,very high
1300,Dry vegetable dishes,refrigerated temperature,8.6,low
1301,Dal/lentils,refrigerated temperature,2.86,low
1302,Sweets,refrigerated temperature,10.83,low
1303,Dal/lentils,cool temperature(approx. 18 C),9.73,very high
1304,Non-veg curries,room temperature(more than 25 C),9.82,very high
1305,Non-veg curries,cool temperature(approx. 18 C),8.78,very high
1306,Dry vegetable dishes,cool temperature(approx. 18 C),3.4,low
1307,Cooked rice dish,refrigerated temperature,7.34,low
1308,Dry vegetable dishes,room temperature(more than 25 C),6.88,very high
1309,Sweets,cool temperature(approx. 18 C),3.53,low
1310,Non-veg curries,cool temperature(approx. 18 C),0.8,high
1311,Dairy-based curries,room temperature(more than 25 C),0.25,high
